set_id,species,type1,type2,ability1,ability2,base_speed,item,nature,ev_spread,move1,move2,move3,move4,lv50_allowed,in_pool_battle50plus,lategame_trainer_count
172,Volbeat,Bug,Bug,Illuminate,Swarm,85,Liechi Berry,Quirky,SPEED|ATTACK,Silver Wind,Confuse Ray,Quick Attack,Helping Hand,1,0,0
173,Illumise,Bug,Bug,Oblivious,None,85,Liechi Berry,Quirky,ATTACK|HP,Silver Wind,Wish,Quick Attack,Helping Hand,1,0,0
174,Ivysaur,Grass,Poison,Overgrow,None,60,Persim Berry,Gentle,SP_ATTACK|HP,Petal Dance,Growth,Sweet Scent,Fury Cutter,1,0,0
175,Charmeleon,Fire,Fire,Blaze,None,80,Scope Lens,Naughty,ATTACK|HP,Slash,Fire Spin,Swords Dance,Aerial Ace,1,0,0
176,Wartortle,Water,Water,Torrent,None,58,Focus Band,Docile,SP_ATTACK|HP,Water Pulse,Bite,Mud Slap,Yawn,1,0,0
177,Parasect,Bug,Grass,Effect Spore,None,30,Sitrus Berry,Rash,SP_DEFENSE|DEFENSE,Slash,Psybeam,Stun Spore,Flash,1,0,0
178,Machoke,Fighting,Fighting,Guts,None,45,Focus Band,Adamant,SP_DEFENSE|HP,Low Kick,Rock Tomb,Foresight,Scary Face,1,0,0
179,Haunter,Ghost,Poison,Levitate,None,95,Persim Berry,Rash,ATTACK|HP,Shadow Punch,Confuse Ray,Spite,Grudge,1,0,0
180,Bayleef,Grass,Grass,Overgrow,None,60,Bright Powder,Docile,SP_ATTACK|HP,Razor Leaf,Toxic,Safeguard,Light Screen,1,0,0
181,Quilava,Fire,Fire,Blaze,None,80,Focus Band,Docile,SP_ATTACK|HP,Flame Wheel,Fury Swipes,Swift,Smokescreen,1,0,0
182,Croconaw,Water,Water,Torrent,None,58,Scope Lens,Docile,SP_ATTACK|ATTACK,Slash,Water Pulse,Bite,Scary Face,1,0,0
183,Togetic,Normal,Flying,Hustle,Serene Grace,40,Lax Incense,Relaxed,DEFENSE|HP,Aerial Ace,Magical Leaf,Wish,Follow Me,1,0,0
184,Murkrow,Dark,Flying,Insomnia,None,91,Lax Incense,Quirky,SP_DEFENSE|DEFENSE|HP,Faint Attack,Fly,Torment,Taunt,1,0,0
185,Wobbuffet,Psychic,Psychic,Shadow Tag,None,33,Focus Band,Careful,SP_DEFENSE|DEFENSE|HP,Counter,Mirror Coat,Charm,Safeguard,1,1,8
186,Plusle,Electric,Electric,Plus,None,95,Petaya Berry,Docile,DEFENSE|HP,Spark,Fake Tears,Quick Attack,Helping Hand,1,0,0
187,Minun,Electric,Electric,Minus,None,95,Salac Berry,Docile,DEFENSE|HP,Spark,Charm,Encore,Helping Hand,1,0,0
188,Grovyle,Grass,Grass,Overgrow,None,95,Bright Powder,Relaxed,ATTACK|HP,Fury Cutter,Endeavor,Brick Break,Double Team,1,0,0
189,Combusken,Fire,Fighting,Blaze,None,55,Scope Lens,Docile,SP_ATTACK|ATTACK,Ember,Double Kick,Quick Attack,Sand Attack,1,0,0
190,Marshtomp,Water,Ground,Torrent,None,50,Focus Band,Hardy,SP_ATTACK|ATTACK,Mud Shot,Water Gun,Rock Tomb,Mud Slap,1,0,0
191,Ponyta,Fire,Fire,Run Away,Flash Fire,90,Rawst Berry,Hardy,ATTACK|HP,Fire Spin,Bounce,Quick Attack,Tail Whip,1,0,0
192,Azumarill,Water,Water,Thick Fat,Huge Power,50,Sitrus Berry,Docile,SP_DEFENSE|DEFENSE,Bubble Beam,Facade,Dig,Protect,1,0,0
193,Sudowoodo,Rock,Rock,Sturdy,Rock Head,30,Hard Stone,Hardy,SP_DEFENSE|HP,Rock Slide,Faint Attack,Sandstorm,Block,1,0,0
194,Magcargo,Fire,Rock,Magma Armor,Flame Body,30,Lax Incense,Gentle,SP_DEFENSE|HP,Rock Slide,Ember,Acid Armor,Sandstorm,1,0,0
195,Pupitar,Rock,Ground,Shed Skin,None,51,Soft Sand,Hardy,SPEED|HP,Dig,Bite,Scary Face,Sandstorm,1,0,0
196,Sealeo,Ice,Water,Thick Fat,None,45,Persim Berry,Quirky,SP_DEFENSE|DEFENSE|HP,Ice Ball,Hail,Snore,Rest,1,0,0
197,Raticate,Normal,Normal,Run Away,Guts,97,Silk Scarf,Naive,SPEED|ATTACK|HP,Endeavor,Pursuit,Scary Face,Quick Attack,1,0,0
198,Masquerain,Bug,Flying,Intimidate,None,60,Cheri Berry,Relaxed,DEFENSE|ATTACK,Silver Wind,Aerial Ace,Icy Wind,Stun Spore,1,0,0
199,Furret,Normal,Normal,Run Away,Keen Eye,90,Liechi Berry,Serious,SP_DEFENSE|DEFENSE,Slam,Protect,Helping Hand,Follow Me,1,0,0
200,Dunsparce,Normal,Normal,Serene Grace,Run Away,45,Lax Incense,Docile,ATTACK|HP,Headbutt,Glare,Defense Curl,Rollout,1,0,0
201,Dragonair,Dragon,Dragon,Shed Skin,None,70,Cheri Berry,Docile,SP_DEFENSE|HP,Dragon Breath,Leer,Wrap,Safeguard,1,0,0
202,Mightyena,Dark,Dark,Intimidate,None,70,Mental Herb,Timid,SP_ATTACK|ATTACK,Bite,Poison Fang,Taunt,Roar,1,0,0
203,Linoone,Normal,Normal,Pickup,None,100,White Herb,Adamant,ATTACK|HP,Secret Power,Sand Attack,Covet,Tickle,1,0,0
204,Castform,Normal,Normal,Forecast,None,70,Petaya Berry,Hasty,SP_ATTACK|HP,Ember,Water Pulse,Shock Wave,Icy Wind,1,0,0
205,Shelgon,Dragon,Dragon,Rock Head,None,50,Cheri Berry,Hardy,SP_DEFENSE|ATTACK|HP,Headbutt,Dragon Breath,Protect,Scary Face,1,0,0
206,Metang,Steel,Psychic,Clear Body,None,50,Focus Band,Hardy,SP_DEFENSE|ATTACK,Metal Claw,Confusion,Pursuit,Scary Face,1,0,0
207,Wigglytuff,Normal,Normal,Cute Charm,None,45,Silk Scarf,Relaxed,SP_DEFENSE|DEFENSE,Sing,Disable,Wish,Secret Power,1,0,0
208,Sunflora,Grass,Grass,Chlorophyll,None,30,Persim Berry,Quirky,DEFENSE|HP,Petal Dance,Ingrain,Leech Seed,Light Screen,1,0,0
209,Chimecho,Psychic,Psychic,Levitate,None,65,Twisted Spoon,Sassy,SP_ATTACK|HP,Psywave,Take Down,Heal Bell,Safeguard,1,0,0
210,Gligar,Ground,Flying,Hyper Cutter,Sand Veil,85,Scope Lens,Hasty,SP_DEFENSE|HP,Metal Claw,Dig,Aerial Ace,Quick Attack,1,0,0
211,Qwilfish,Water,Poison,Poison Point,Swift Swim,85,Cheri Berry,Impish,SP_DEFENSE|SP_ATTACK,Bubble Beam,Pin Missile,Spikes,Minimize,1,0,0
212,Sneasel,Dark,Ice,Inner Focus,Keen Eye,115,Persim Berry,Relaxed,SP_DEFENSE|DEFENSE|HP,Faint Attack,Fake Out,Icy Wind,Quick Attack,1,0,0
213,Pelipper,Water,Flying,Keen Eye,None,65,Sitrus Berry,Quiet,SP_DEFENSE|HP,Water Pulse,Aerial Ace,Stockpile,Swallow,1,0,0
214,Swellow,Normal,Flying,Guts,None,125,Kings Rock,Adamant,SP_DEFENSE|HP,Fly,Endeavor,Facade,Quick Attack,1,0,0
215,Lairon,Steel,Rock,Sturdy,Rock Head,40,Metal Coat,Sassy,SP_DEFENSE|HP,Metal Claw,Rock Tomb,Iron Defense,Protect,1,0,0
216,Tangela,Grass,Grass,Chlorophyll,None,60,Lax Incense,Hardy,SP_DEFENSE|HP,Mega Drain,Slam,Toxic,Bind,1,0,0
217,Arbok,Poison,Poison,Intimidate,Shed Skin,80,Persim Berry,Adamant,ATTACK|HP,Poison Fang,Dig,Bite,Glare,1,0,0
218,Persian,Normal,Normal,Limber,None,115,Silk Scarf,Quirky,SP_DEFENSE|DEFENSE|HP,Fake Out,Slash,Torment,Swagger,1,0,0
219,Seadra,Water,Water,Poison Point,None,85,Mystic Water,Sassy,SP_ATTACK|HP,Aurora Beam,Smokescreen,Water Gun,Rain Dance,1,0,0
220,Kecleon,Normal,Normal,Color Change,None,40,Focus Band,Naive,DEFENSE|ATTACK|HP,Secret Power,Psybeam,Magic Coat,Seismic Toss,1,0,0
221,Vigoroth,Normal,Normal,Vital Spirit,None,90,Focus Band,Lonely,ATTACK|HP,Slash,Counter,Encore,Uproar,1,0,0
222,Lunatone,Rock,Psychic,Levitate,None,70,Sitrus Berry,Quiet,DEFENSE|HP,Confusion,Cosmic Power,Light Screen,Sandstorm,1,0,0
223,Solrock,Rock,Psychic,Levitate,None,70,Sitrus Berry,Quiet,SP_DEFENSE|HP,Confusion,Fire Spin,Light Screen,Sandstorm,1,0,0
224,Noctowl,Normal,Flying,Insomnia,Keen Eye,70,Persim Berry,Relaxed,DEFENSE|HP,Confusion,Aerial Ace,Faint Attack,Reflect,1,0,0
225,Sandslash,Ground,Ground,Sand Veil,None,65,Sitrus Berry,Adamant,SP_DEFENSE|HP,Crush Claw,Rock Slide,Swift,Sandstorm,1,0,0
226,Venomoth,Bug,Poison,Shield Dust,None,90,Persim Berry,Quirky,SPEED|HP,Silver Wind,Psybeam,Sleep Powder,Skill Swap,1,0,0
227,Chansey,Normal,Normal,Natural Cure,Serene Grace,50,Sitrus Berry,Relaxed,SP_DEFENSE|DEFENSE,Metronome,Refresh,Defense Curl,Minimize,1,0,0
228,Seaking,Water,Water,Swift Swim,Water Veil,68,Sitrus Berry,Docile,SP_DEFENSE|HP,Water Pulse,Psybeam,Swift,Agility,1,0,0
229,Jumpluff,Grass,Flying,Chlorophyll,None,110,Lax Incense,Docile,SPEED|HP,Aerial Ace,Swagger,Psych Up,Synthesis,1,0,0
230,Piloswine,Ice,Ground,Oblivious,None,50,Soft Sand,Quirky,ATTACK|HP,Dig,Ancient Power,Hail,Light Screen,1,0,0
231,Golbat,Poison,Flying,Inner Focus,None,90,Scope Lens,Relaxed,ATTACK|HP,Air Cutter,Confuse Ray,Toxic,Steel Wing,1,0,0
232,Primeape,Fighting,Fighting,Vital Spirit,None,95,Scope Lens,Quirky,SP_DEFENSE|DEFENSE|HP,Karate Chop,Counter,Swagger,Screech,1,0,0
233,Hitmonlee,Fighting,Fighting,Limber,None,87,Black Belt,Adamant,DEFENSE|HP,Rolling Kick,Brick Break,Focus Energy,Facade,1,0,0
234,Hitmonchan,Fighting,Fighting,Keen Eye,None,76,Kings Rock,Adamant,DEFENSE|HP,Mach Punch,Sky Uppercut,Detect,Counter,1,0,0
235,Girafarig,Normal,Psychic,Inner Focus,Early Bird,85,Petaya Berry,Quiet,SP_ATTACK|HP,Psybeam,Stomp,Wish,Skill Swap,1,0,0
236,Hitmontop,Fighting,Fighting,Intimidate,None,70,Liechi Berry,Hardy,ATTACK|HP,Triple Kick,Dig,Mach Punch,Quick Attack,1,0,0
237,Banette,Ghost,Ghost,Insomnia,None,65,Rawst Berry,Sassy,SP_DEFENSE|DEFENSE|HP,Night Shade,Will O Wisp,Spite,Knock Off,1,0,0
238,Ninjask,Bug,Flying,Speed Boost,None,160,Petaya Berry,Mild,SP_DEFENSE|DEFENSE|HP,Baton Pass,Swords Dance,Endure,Dig,1,1,2
239,Seviper,Poison,Poison,Shed Skin,None,65,Scope Lens,Hardy,ATTACK|HP,Poison Tail,Bite,Glare,Screech,1,0,0
240,Zangoose,Normal,Normal,Immunity,None,90,Persim Berry,Hardy,ATTACK|HP,Slash,Double Kick,Roar,Quick Attack,1,0,0
241,Camerupt,Fire,Ground,Magma Armor,None,40,Focus Band,Quirky,ATTACK|HP,Magnitude,Protect,Sandstorm,Rock Slide,1,0,0
242,Sharpedo,Water,Dark,Rough Skin,None,95,Scope Lens,Adamant,SP_DEFENSE|ATTACK,Slash,Bite,Water Pulse,Scary Face,1,0,0
243,Tropius,Grass,Flying,Chlorophyll,None,51,Sitrus Berry,Hardy,ATTACK|HP,Magical Leaf,Whirlwind,Aerial Ace,Steel Wing,1,0,0
244,Magneton,Electric,Steel,Magnet Pull,Sturdy,70,Cheri Berry,Lonely,SP_ATTACK|SPEED,Shock Wave,Sonic Boom,Thunder Wave,Supersonic,1,0,0
245,Mantine,Water,Flying,Swift Swim,Water Absorb,70,Mystic Water,Docile,SP_DEFENSE|HP,Bubble Beam,Aerial Ace,Rain Dance,Icy Wind,1,0,0
246,Stantler,Normal,Normal,Intimidate,None,85,Twisted Spoon,Gentle,SP_ATTACK|HP,Extrasensory,Confuse Ray,Stomp,Sand Attack,1,0,0
247,Absol,Dark,Dark,Pressure,None,75,Bright Powder,Adamant,ATTACK|HP,Bite,Razor Wind,Future Sight,Quick Attack,1,0,0
248,Swalot,Poison,Poison,Liquid Ooze,Sticky Hold,55,Lax Incense,Quirky,SP_DEFENSE|DEFENSE,Stockpile,Swallow,Spit Up,Sludge,1,0,0
249,Crawdaunt,Water,Dark,Hyper Cutter,Shell Armor,55,Persim Berry,Adamant,SP_DEFENSE|DEFENSE|HP,Bubble Beam,Vice Grip,Knock Off,Protect,1,0,0
250,Pidgeot,Normal,Flying,Keen Eye,None,91,Sharp Beak,Hardy,ATTACK|HP,Aerial Ace,Feather Dance,Mud Slap,Faint Attack,1,0,0
251,Grumpig,Psychic,Psychic,Thick Fat,Own Tempo,80,Petaya Berry,Relaxed,SP_ATTACK|HP,Psybeam,Confuse Ray,Future Sight,Magic Coat,1,0,0
252,Torkoal,Fire,Fire,White Smoke,None,20,Sitrus Berry,Relaxed,SP_DEFENSE|HP,Ember,Fire Spin,Smokescreen,Amnesia,1,0,0
253,Kingler,Water,Water,Hyper Cutter,Shell Armor,75,Scope Lens,Hardy,SP_DEFENSE|HP,Crabhammer,Metal Claw,Mud Shot,Protect,1,0,0
254,Cacturne,Grass,Dark,Sand Veil,None,55,Scope Lens,Hasty,SPEED|HP,Needle Arm,Faint Attack,Acid,Mega Punch,1,0,0
255,Bellossom,Grass,Grass,Chlorophyll,None,50,Persim Berry,Quiet,SP_ATTACK|HP,Petal Dance,Safeguard,Sunny Day,Synthesis,1,0,0
256,Octillery,Water,Water,Suction Cups,None,45,Shell Bell,Hardy,SP_ATTACK|ATTACK,Octazooka,Aurora Beam,Psybeam,Rock Blast,1,0,0
257,Huntail,Water,Water,Swift Swim,None,52,Persim Berry,Quiet,ATTACK|HP,Whirlpool,Scary Face,Mud Slap,Bite,1,0,0
258,Gorebyss,Water,Water,Swift Swim,None,52,Persim Berry,Brave,SP_ATTACK|HP,Whirlpool,Amnesia,Icy Wind,Confusion,1,0,0
259,Relicanth,Water,Rock,Swift Swim,Rock Head,55,Liechi Berry,Sassy,SP_DEFENSE|SP_ATTACK|HP,Ancient Power,Water Pulse,Harden,Amnesia,1,0,0
260,Omastar,Rock,Water,Swift Swim,Shell Armor,55,Shell Bell,Quirky,SP_ATTACK|HP,Bubble Beam,Spike Cannon,Tickle,Ancient Power,1,0,0
261,Kabutops,Rock,Water,Swift Swim,Battle Armor,80,Scope Lens,Adamant,ATTACK|HP,Slash,Dig,Fury Cutter,Knock Off,1,0,0
262,Poliwrath,Water,Fighting,Water Absorb,Damp,70,Black Belt,Adamant,ATTACK|HP,Submission,Dig,Rock Tomb,Bubble Beam,1,0,0
263,Scyther,Bug,Flying,Swarm,None,105,Liechi Berry,Relaxed,ATTACK|HP,Fury Cutter,Aerial Ace,Light Screen,Double Team,1,0,0
264,Pinsir,Bug,Bug,Hyper Cutter,None,85,Black Belt,Naughty,ATTACK|HP,Submission,Focus Energy,Swords Dance,Revenge,1,0,0
265,Politoed,Water,Water,Water Absorb,Damp,70,Shell Bell,Relaxed,SP_DEFENSE|DEFENSE,Dive,Dig,Hypnosis,Swagger,1,0,0
266,Cloyster,Water,Ice,Shell Armor,None,70,Never Melt Ice,Sassy,SP_DEFENSE|HP,Aurora Beam,Spike Cannon,Supersonic,Protect,1,0,0
267,Delcatty,Normal,Normal,Cute Charm,None,70,Quick Claw,Modest,SP_ATTACK|SPEED,Fake Tears,Sing,Thunderbolt,Ice Beam,1,1,4
268,Sableye,Dark,Ghost,Keen Eye,None,50,Lum Berry,Quirky,SP_ATTACK|ATTACK|HP,Shadow Ball,Faint Attack,Confuse Ray,Recover,1,0,0
269,Lickitung,Normal,Normal,Own Tempo,Oblivious,30,Cheri Berry,Adamant,SP_DEFENSE|DEFENSE|ATTACK,Earthquake,Body Slam,Shadow Ball,Rock Slide,1,0,0
270,Weepinbell,Grass,Poison,Chlorophyll,None,55,Scope Lens,Quirky,SP_DEFENSE|DEFENSE,Sludge Bomb,Razor Leaf,Sleep Powder,Reflect,1,0,0
271,Graveler,Rock,Ground,Rock Head,Sturdy,35,Focus Band,Adamant,SP_DEFENSE|HP,Earthquake,Rock Slide,Brick Break,Counter,1,0,0
272,Gloom,Grass,Poison,Chlorophyll,None,40,Pecha Berry,Quirky,SP_ATTACK|ATTACK,Solar Beam,Sunny Day,Sludge Bomb,Moonlight,1,0,0
273,Porygon,Normal,Normal,Trace,None,40,Cheri Berry,Quiet,SP_ATTACK|ATTACK,Tri Attack,Psychic,Thunder Wave,Recover,1,1,4
274,Kadabra,Psychic,Psychic,Synchronize,Inner Focus,105,Twisted Spoon,Modest,DEFENSE|HP,Psychic,Thunder Wave,Reflect,Recover,1,0,0
275,Wailmer,Water,Water,Water Veil,Oblivious,60,Chesto Berry,Docile,SP_DEFENSE|DEFENSE,Water Spout,Earthquake,Body Slam,Rest,1,0,0
276,Roselia,Grass,Poison,Natural Cure,Poison Point,65,Quick Claw,Docile,DEFENSE|HP,Giga Drain,Sludge Bomb,Grass Whistle,Synthesis,1,0,0
277,Volbeat,Bug,Bug,Illuminate,Swarm,85,Petaya Berry,Quirky,SP_ATTACK|SPEED,Signal Beam,Thunderbolt,Ice Punch,Tail Glow,1,0,0
278,Illumise,Bug,Bug,Oblivious,None,85,Petaya Berry,Quirky,SP_ATTACK|SPEED,Silver Wind,Thunderbolt,Ice Punch,Giga Drain,1,0,0
279,Ivysaur,Grass,Poison,Overgrow,None,60,Bright Powder,Quirky,SP_ATTACK|ATTACK,Giga Drain,Sludge Bomb,Sleep Powder,Leech Seed,1,0,0
280,Charmeleon,Fire,Fire,Blaze,None,80,Scope Lens,Hardy,SPEED|ATTACK,Flamethrower,Slash,Ancient Power,Dragon Rage,1,0,0
281,Wartortle,Water,Water,Torrent,None,58,Shell Bell,Docile,SP_ATTACK|HP,Surf,Ice Beam,Rapid Spin,Protect,1,0,0
282,Parasect,Bug,Grass,Effect Spore,None,30,Leftovers,Calm,SP_DEFENSE|DEFENSE|HP,Spore,Giga Drain,Dig,Double Team,1,1,2
283,Machoke,Fighting,Fighting,Guts,None,45,Scope Lens,Adamant,ATTACK|HP,Cross Chop,Rock Slide,Foresight,Scary Face,1,0,0
284,Haunter,Ghost,Poison,Levitate,None,95,Lum Berry,Relaxed,SP_DEFENSE|DEFENSE|HP,Psychic,Hypnosis,Nightmare,Confuse Ray,1,0,0
285,Bayleef,Grass,Grass,Overgrow,None,60,Chesto Berry,Docile,SP_DEFENSE|DEFENSE|HP,Giga Drain,Body Slam,Grass Whistle,Rest,1,0,0
286,Quilava,Fire,Fire,Blaze,None,80,Bright Powder,Docile,SP_ATTACK|ATTACK,Flamethrower,Crush Claw,Body Slam,Smokescreen,1,0,0
287,Croconaw,Water,Water,Torrent,None,58,Focus Band,Adamant,ATTACK|HP,Mega Kick,Aerial Ace,Rock Slide,Dig,1,0,0
288,Togetic,Normal,Flying,Hustle,Serene Grace,40,Scope Lens,Relaxed,DEFENSE|HP,Return,Sweet Kiss,Aerial Ace,Yawn,1,0,0
289,Murkrow,Dark,Flying,Insomnia,None,91,Bright Powder,Quirky,SP_DEFENSE|DEFENSE|HP,Perish Song,Mean Look,Double Team,Thunder Wave,1,0,0
290,Wobbuffet,Psychic,Psychic,Shadow Tag,None,33,Focus Band,Careful,SP_DEFENSE|DEFENSE,Counter,Mirror Coat,Encore,Destiny Bond,1,1,8
291,Plusle,Electric,Electric,Plus,None,95,Petaya Berry,Docile,SP_ATTACK|SPEED,Thunderbolt,Thunder Wave,Seismic Toss,Wish,1,0,0
292,Minun,Electric,Electric,Minus,None,95,Salac Berry,Docile,SP_ATTACK|SPEED,Thunderbolt,Attract,Charm,Wish,1,0,0
293,Grovyle,Grass,Grass,Overgrow,None,95,Lum Berry,Docile,SPEED|ATTACK,Giga Drain,Crush Claw,Screech,Rock Tomb,1,0,0
294,Combusken,Fire,Fighting,Blaze,None,55,Scope Lens,Docile,SP_ATTACK|SPEED|ATTACK,Flamethrower,Sky Uppercut,Slash,Sand Attack,1,0,0
295,Marshtomp,Water,Ground,Torrent,None,50,Focus Band,Docile,SP_ATTACK|ATTACK,Muddy Water,Earthquake,Mud Slap,Protect,1,0,0
296,Ponyta,Fire,Fire,Run Away,Flash Fire,90,Sitrus Berry,Quirky,SP_ATTACK|SPEED,Flamethrower,Body Slam,Double Kick,Double Team,1,0,0
297,Azumarill,Water,Water,Thick Fat,Huge Power,50,Shell Bell,Adamant,SP_DEFENSE|HP,Mega Kick,Brick Break,Iron Tail,Dig,1,0,0
298,Sudowoodo,Rock,Rock,Sturdy,Rock Head,30,Focus Band,Hardy,SP_DEFENSE|HP,Mega Kick,Earthquake,Low Kick,Self Destruct,1,0,0
299,Magcargo,Fire,Rock,Magma Armor,Flame Body,30,Quick Claw,Quiet,SP_DEFENSE|HP,Overheat,Earthquake,Rock Slide,Body Slam,1,0,0
300,Pupitar,Rock,Ground,Shed Skin,None,51,Scope Lens,Hardy,ATTACK|HP,Earthquake,Rock Slide,Crunch,Scary Face,1,0,0
301,Sealeo,Ice,Water,Thick Fat,None,45,Sitrus Berry,Quiet,SP_ATTACK|HP,Ice Beam,Surf,Body Slam,Hail,1,0,0
302,Raticate,Normal,Normal,Run Away,Guts,97,Focus Band,Adamant,SPEED|ATTACK,Super Fang,Hyper Fang,Shadow Ball,Scary Face,1,0,0
303,Masquerain,Bug,Flying,Intimidate,None,60,Lax Incense,Quiet,SP_ATTACK|DEFENSE,Hydro Pump,Ice Beam,Giga Drain,Stun Spore,1,1,2
304,Furret,Normal,Normal,Run Away,Keen Eye,90,Choice Band,Adamant,SPEED|ATTACK,Trick,Frustration,Shadow Ball,Follow Me,1,0,0
305,Dunsparce,Normal,Normal,Serene Grace,Run Away,45,Lax Incense,Quiet,SP_DEFENSE|DEFENSE,Ice Beam,Rock Tomb,Bite,Shadow Ball,1,1,4
306,Dragonair,Dragon,Dragon,Shed Skin,None,70,Chesto Berry,Adamant,SP_DEFENSE|HP,Return,Rest,Thunder Wave,Dragon Dance,1,0,0
307,Mightyena,Dark,Dark,Intimidate,None,70,Kings Rock,Quirky,SP_ATTACK|DEFENSE,Crunch,Shadow Ball,Frustration,Scary Face,1,0,0
308,Linoone,Normal,Normal,Pickup,None,100,Choice Band,Jolly,SPEED|ATTACK,Trick,Frustration,Thunder Wave,Sand Attack,1,0,0
309,Castform,Normal,Normal,Forecast,None,70,Lax Incense,Modest,SP_ATTACK|HP,Thunderbolt,Flamethrower,Ice Beam,Water Pulse,1,0,0
310,Shelgon,Dragon,Dragon,Rock Head,None,50,Focus Band,Hardy,SP_DEFENSE|HP,Frustration,Dragon Dance,Crunch,Scary Face,1,0,0
311,Metang,Steel,Psychic,Clear Body,None,50,Focus Band,Quirky,SP_ATTACK|HP,Meteor Mash,Psychic,Body Slam,Scary Face,1,0,0
312,Wigglytuff,Normal,Normal,Cute Charm,None,45,Sitrus Berry,Docile,SP_DEFENSE|DEFENSE,Fake Tears,Sing,Dream Eater,Brick Break,1,1,4
313,Sunflora,Grass,Grass,Chlorophyll,None,30,Leftovers,Quiet,DEFENSE|HP,Giga Drain,Grass Whistle,Growth,Double Team,1,1,2
314,Chimecho,Psychic,Psychic,Levitate,None,65,Twisted Spoon,Quiet,SP_DEFENSE|DEFENSE|HP,Psychic,Hypnosis,Dream Eater,Heal Bell,1,0,0
315,Gligar,Ground,Flying,Hyper Cutter,Sand Veil,85,Quick Claw,Adamant,SP_DEFENSE|HP,Earthquake,Aerial Ace,Guillotine,Screech,1,0,0
316,Qwilfish,Water,Poison,Poison Point,Swift Swim,85,Focus Band,Adamant,SP_DEFENSE|HP,Revenge,Sludge Bomb,Shadow Ball,Destiny Bond,1,0,0
317,Sneasel,Dark,Ice,Inner Focus,Keen Eye,115,Kings Rock,Jolly,SPEED|DEFENSE|HP,Crush Claw,Brick Break,Aerial Ace,Screech,1,1,4
318,Pelipper,Water,Flying,Keen Eye,None,65,Shell Bell,Quiet,SP_DEFENSE|HP,Surf,Blizzard,Aerial Ace,Protect,1,0,0
319,Swellow,Normal,Flying,Guts,None,125,Kings Rock,Adamant,SP_DEFENSE|HP,Facade,Aerial Ace,Pursuit,Double Team,1,0,0
320,Lairon,Steel,Rock,Sturdy,Rock Head,40,Sitrus Berry,Sassy,SP_DEFENSE|HP,Earthquake,Iron Tail,Roar,Protect,1,0,0
321,Tangela,Grass,Grass,Chlorophyll,None,60,Chesto Berry,Calm,SP_DEFENSE|HP,Giga Drain,Stun Spore,Rest,Amnesia,1,0,0
322,Arbok,Poison,Poison,Intimidate,Shed Skin,80,Lum Berry,Adamant,DEFENSE|HP,Sludge Bomb,Earthquake,Iron Tail,Glare,1,0,0
323,Persian,Normal,Normal,Limber,None,115,Silk Scarf,Quirky,SP_DEFENSE|DEFENSE|HP,Frustration,Shadow Ball,Roar,Fake Out,1,0,0
324,Seadra,Water,Water,Poison Point,None,85,Shell Bell,Docile,SP_DEFENSE|HP,Hydro Pump,Frustration,Dragon Breath,Dragon Dance,1,0,0
325,Kecleon,Normal,Normal,Color Change,None,40,Choice Band,Docile,DEFENSE|HP,Trick,Brick Break,Shadow Ball,Skill Swap,1,1,4
326,Vigoroth,Normal,Normal,Vital Spirit,None,90,Salac Berry,Adamant,SP_DEFENSE|ATTACK,Crush Claw,Reversal,Endure,Shadow Ball,1,0,0
327,Lunatone,Rock,Psychic,Levitate,None,70,Lax Incense,Quiet,DEFENSE|HP,Psychic,Ice Beam,Cosmic Power,Calm Mind,1,0,0
328,Solrock,Rock,Psychic,Levitate,None,70,White Herb,Hardy,SP_DEFENSE|HP,Earthquake,Rock Slide,Cosmic Power,Overheat,1,0,0
329,Noctowl,Normal,Flying,Insomnia,Keen Eye,70,Persim Berry,Quiet,SP_ATTACK|DEFENSE,Psychic,Faint Attack,Aerial Ace,Reflect,1,0,0
330,Sandslash,Ground,Ground,Sand Veil,None,65,Quick Claw,Adamant,SP_DEFENSE|HP,Earthquake,Rock Slide,Crush Claw,Sandstorm,1,0,0
331,Venomoth,Bug,Poison,Shield Dust,None,90,Lum Berry,Docile,SPEED|HP,Signal Beam,Psychic,Sludge Bomb,Giga Drain,1,1,2
332,Chansey,Normal,Normal,Natural Cure,Serene Grace,50,Leftovers,Relaxed,SP_DEFENSE|DEFENSE,Seismic Toss,Shadow Ball,Double Team,Soft Boiled,1,1,4
333,Seaking,Water,Water,Swift Swim,Water Veil,68,Quick Claw,Impish,SP_DEFENSE|DEFENSE|HP,Horn Drill,Megahorn,Sleep Talk,Rest,1,1,2
334,Jumpluff,Grass,Flying,Chlorophyll,None,110,Leftovers,Bold,SP_DEFENSE|DEFENSE,Leech Seed,Sleep Powder,Giga Drain,Double Team,1,1,2
335,Piloswine,Ice,Ground,Oblivious,None,50,Shell Bell,Adamant,SP_DEFENSE|DEFENSE,Earthquake,Rock Slide,Body Slam,Roar,1,0,0
336,Golbat,Poison,Flying,Inner Focus,None,90,Scope Lens,Adamant,ATTACK|HP,Sludge Bomb,Shadow Ball,Confuse Ray,Air Cutter,1,0,0
337,Primeape,Fighting,Fighting,Vital Spirit,None,95,Scope Lens,Quirky,SP_DEFENSE|DEFENSE|HP,Cross Chop,Rock Tomb,Overheat,Bulk Up,1,0,0
